id,corporation,infodate,texte
304990,2097,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'assemblée générale.
305006,153,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'assemblée générale.
305024,151,31/12/1912,Répartition des bénéfices: effectuée suivant les décisions de l'assemblée générale.
305041,378,31/12/1912,Répartition des bénéfices : 20% à la réserve légale ; prélèvement facultatif en faveur des réserves. Le solde aux actions.
305056,2109,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'Assemblée générale.
305071,427,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale ; prélèvement facultatif en faveur du fonds de prévoyance ou d'une réserve applicable à la libération des actions ; 5 % d'intérêt aux actions. Sur le solde : 97 % aux actions ; 3 % aux administrateurs.
305089,2116,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 80 % aux actions. 15 % au Conseil d'administration. 5 % aux directeurs.
305106,101,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale. Le surplus des bénéfices est réparti suivant les décisions de l'assemblée générale sur les propositions du conseil d'administration.
305124,1146,31/12/1912,"Répartition des bénéfices : 20 % à la réserve légale. Le solde est réparti suivant les décisions de l'assemblée générale, sur la proposition du conseil d'administration."
305140,2101,31/12/1912,"Répartition des bénéfices : suivant les décisions de l'assemblée générale, sur la proposition du conseil d'administration."
305156,10205,31/12/1912,Répartition des bénéfices : 25 % au fonds de réserve. Le solde à la disposition de l'assemblée générale.
305172,424,31/12/1912,"Répartition des bénéfices : un quart au moins, la moitié, au plus, des bénéfices est mise en réserve. Le solde aux actions."
305189,2099,31/12/1912,"Répartition des bénéfices : suivant les décisions de l'assemblée générale, sur la proposition du conseil d'administration."
305205,146,31/12/1912,"Répartition des bénéfices : 20 % au fonds de réserve. Le solde est réparti suivant les décisions de l'assemblée générale, sur la proposition du conseil d'administration."
305222,1137,31/12/1912,Répartition des bénéfices : suivant les décisions de l'assemblée générale sur la proposition du conseil d'administration.
305237,150,31/12/1912,"Répartition des bénéfices : suivant les décisions de l'assemblée générale, d'après les propositions du conseil d'administration."
305258,545,31/12/1912,Répartition des bénéfices : suivant les décisions de l'assemblée générale.
305276,783,31/12/1912,"Répartition des bénéfices : Après le prélèvement en faveur des réserves, 75 % sont versés au compte de participation. Sur l'excédent : 5 % d'intérêt aux actions. Sur le solde : 15 % au conseil d'administration ; 3 % au directeur ; 2 % au fonds de retraite et pour les gratifications du personnel ; 80 % aux actions."
305290,444,31/12/1912,Répartition des bénéfices : 20 % au fonds de réserve ; prélèvement en faveur du fonds de prévoyance. Le solde est réparti suivant les décisions de l'assemblée.
305307,1596,31/12/1912,Répartition des bénéfices : suivant les décisions de l'assemblée générale.
305326,1589,31/12/1912,"Répartition des bénéfices : 20 % au fonds de réserve ; prélèvement pour l'amortissement du compte de premier établissement, pour celui des commissions escomptées, et pour la constitution d'un fonds de prévoyance. Sur l'excédent 5 % d'intérêt aux actions. Sur le solde : 10 % au conseil d'administration, 90 % aux actions."
305342,2070,31/12/1912,"Répartition des bénéfices : 20 % à la réserve légale ; 5 % d'intérêt aux actions ; prélèvement facultatif en faveur du fonds de prévoyance. Sur le solde : 90 % aux actions, 10 % au conseil d'administration."
305358,2104,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'assemblée générale.
305374,10264,31/12/1912,Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur l'excédent 10 % aux administrateurs ; 75 % aux actionnaires et 15 % à la réserve pour compléter éventuellement les dividendes.
305389,2349,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur l'excédent, après prélèvement de 25.000 lire pour réserve spéciale de prévoyance pour éventualités diverses, 10 % aux administrateurs et 90 % aux actions."
305408,324,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale. Le solde est réparti suivant les décisions de l'assemblée générale.
305426,245,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'Assemblée générale.
305444,2111,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur l'excédent : 10% au conseil d'administration, 5 % au directeur, 5 % au personnel, 80% aux actions."
305464,237,31/12/1912,Répartition des bénéfices: effectuée suivant les décisions de l'Assemblée générale.
305480,231,31/12/1912,Répartition des bénéfices : 20 % à la réserve légale. Le solde aux actions.
305498,2188,31/12/1912,Répartition des bénéfices : 1 % à la réserve légale ; une part destinée à la rétribution des administrateurs et aux gratifications à allouer au directeur et aux employés. Le solde aux actions.
305515,348,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'Assemblée générale.
305534,457,31/12/1912,Répartition des bénéfices : effectuée suivant les décisions de l'Assemblée générale.
305551,2117,31/12/1912,"Répartition des bénéfices : 20 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 90 % aux actions, 10 % au Conseil d'administration."
317203,2620,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le surplus, 10 % au conseil d'administration, 90 % aux actions."
317219,2621,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Prélèvement en faveur des fonds de prévoyance. Sur le surplus : 20 % au conseil d'administration, 80 % aux actionnaires."
317236,3320,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 4 % d'intérêt aux actions, prélèvement pour amortir le capital et constituer une réserve facultative. L'excédent aux actions."
317254,2622,31/12/1912,Répartition des bénéfices : 5 % à la réserve légale ; 5 % pour l'amortissement du capital. Sur le surplus : 5 % d'intérêt aux actions non amorties. Sur l'excédent : 10 % au conseil d'administration et 90 % aux actions.
317270,2624,31/12/1912,Répartition des bénéfices : 5 % à la réserve ; 4 % d'intérêt aux actions. Sur le surplus : prélèvements facultatifs pour un compte d'amortissement du capital actions et pour une réserve. Sur l'excédent 10% au conseil d'administration et 90% aux actions de capital ou de jouissance.
317285,3275,31/12/1912,"Répartition des bénéfices : 5 % à la réserve, 4 1/2 % d'intérêt aux actions de capital. Sur le surplus ; 5 % au conseil d'administration et au collège de commissaires, 5 % aux parts de fondateurs, 45 % aux actions de capital, 45 % aux actions de dividende."
317305,4962,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions de capital. Sur le surplus, prélèvement facultatif en faveur d'un fonds de prévision. Sur l'excédent : 6 1/2 %, destinés à rembourser à 250 francs les actions de capital, 7 % au conseil d'administration et au collège des commissaires, jusqu'à concurrence d'une somme globale de 100.000 francs. Au delà de ce chiffre, le prélèvement sera réduit à 5 % du surplus. Au delà de la somme correspondant à ce prélèvement, le solde sera versé au profit du fonds de remboursement. Sur le solde, après ces deux prélèvements, 50% aux actions de capital et de jouissance, 50% aux actions de dividende."
317324,2626,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 4 % d'intérêt aux actions privilégiées, somme nécessaire pour l'amortissement des actions privilégiées, 4 % d'intérêt aux actions ordinaires. Sur le solde : 10% au conseil d'administration, 5 % à l'administrateur-délégué, 15 % à la disposition du conseil pour gratifications au personnel, 70 % aux actions."
317338,2627,31/12/1912,"Répartition des bénéfices : 5 % à la réserve, 4 % d'intérêt aux actions. Sur le surplus, prélèvements à déterminer pour créer un compte d'amortissement et constituer une réserve facultative. Sur le solde : 10 % au conseil d'administration et 90 % aux actions."
317353,2630,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le surplus, 10 % au conseil d'administration, 90 % aux actions après prélèvement des sommes affectées aux réserves et aux amortissements."
317368,2628,31/12/1912,"5 % à la réserve légale ; 4 % d'intérêt aux actions de priorité, 4 % d'intérêt aux actions ordinaires. Sur le surplus : 10 % au conseil d'administration. Sur l'excédent : 20 % au fonds d'amortissement des actions. Le solde aux actions."
317386,2647,31/12/1912,"5 % à la réserve légale ; somme suffisante pour assurer l'amortissement du capital social avant 1932, 6 % d'intérêt aux actions. Sur le solde : 90 % aux actions, 10 % au conseil d'administration."
317402,1622,31/12/1912,5 % à la réserve légale ; 5 % d'intérêt aux actions. Le surplus est réparti à raison de 20 % au conseil d'administration et 80 % aux actionnaires.
317418,2631,31/12/1912,"5 % à la réserve légale ; 4 % d'intérêt aux actions. Sur le surplus, prélèvements pour amortissement du capital-actions et pour réserve facultative. L'excédent aux actions."
317433,2632,31/12/1912,"5 % à la réserve légale ; 10.000 francs à un fonds d'amortissement du capital actions, 5 % d'intérêt aux actions. Sur le surplus, 5 % au conseil d'administration. Le solde aux actions."
317458,7063,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions, somme suffisante pour assurer, avec le produit de l'intérêt afférent aux actions remboursées, l'amortissement complet du capital. Sur le surplus : 20 % au conseil d'administration. 80 % aux actions."
317472,2637,31/12/1912,"5 % à la réserve légale ; 4 % d'intérêt aux actions. Sur le solde : 10 % au conseil d'administration, 90 % aux actions."
317486,2638,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 90 % aux actions, 10 % au conseil d'administration."
317502,2641,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt cumulatif aux actions de priorité, 5 % au fonds d'amortissement du capital, 4 % d'intérêt non cumulatif aux actions ordinaires. Sur le solde : 10 % au conseil d'administration, 90 % aux actions ordinaires et de priorité."
317519,2640,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 15 % au fonds d'amortissement des actions, 5 % d'intérêt aux actions. Sur le solde : 85 % aux actions, 10 % au conseil d'administration, 5 % à la direction ou au personnel."
317552,2642,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 90 % aux actions, 10 % au conseil d'administration."
317566,2643,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 15% au conseil d'administration, 15% au personnel, 40% aux actions, 30 % à la ville de Roubaix et à la ville de Tourcoing."
317583,2644,31/12/1912,"5 % à la réserve légale ; 5 % au fonds d'amortissement du capital, 5 % d'intérêt aux actions. Sur le solde : 15 % au conseil d'administration, 85 % aux actions."
317598,10190,31/12/1912,"Répartition des bénéfices : 5 % à la réserve, premier dividende de 2 fr. 50 par part sociale, 10 % en plus du bénéfice net total aux parts bénéficiaires au prorata de la valeur nominale de l'obligation à laquelle elles sont attachées, annuité nécessaire à l'amortissement des parts sociales à 50 francs, ou par rachats pendant la durée de la concession. Sur le surplus : 1 % à chaque administrateur, 1/3 % à chaque commissaire. Le solde aux parts sociales et aux parts de jouissance."
317616,2648,31/12/1912,Répartition des bénéfices : 5 % à la réserve légale ; 4 % d'intérêt aux actions. Sur le surplus : 10 % au conseil d'administration. Sur l'excédent : prélèvements facultatifs en faveur du fonds de prévoyance et de l'amortissement des actions. Le solde aux actions.
317635,2596,31/12/1912,"5 % à la réserve légale ; 6 % d'intérêt aux actions, 1 % à chaque membre du conseil, 2 % au personnel. Le solde aux actions."
317652,2649,31/12/1912,"5 % à la réserve légale ; 6 % d'intérêt cumulatif aux actions de priorité : somme nécessaire pour rembourser les actions de priorité dont l'amortissement doit avoir lieu par tirages au sort en mars avant 1932, 5 % aux actions ordinaires. Sur le solde : 10 % au conseil d'administration, 90 % aux actions."
317683,10010,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions, 10 % du surplus au conseil d'administration. Somme à fixer pour réserves extraordinaires. Sur le solde : 50 % aux actions, 50 % aux parts de fondateur."
317697,2358,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur l'excédent : 10 % au conseil d'administration ; prélèvements pour les réserves générales ou spéciales et l'amortissement des actions. Sur le solde : 65 % aux actions, 35 % aux parts de fondateur."
317715,2359,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur l'excédent : 10 % au conseil d'administration, prélèvements pour les réserves et l'amortissement des actions. Sur le solde : 65 % aux actions, 35 % aux parts de fondateur."
317731,2288,31/12/1912,"5 % à la réserve légale. Le surplus est distribué conformément aux propositions du conseil d'administration, approuvées par l'assemblée générale."
317747,10265,31/12/1912,"5 % à la réserve, 5 % d'intérêt aux actions ordinaires. Sur le surplus : 10 % au conseil d'administration. Sur le solde : 50 % aux actions ordinaires et 50 % aux actions de fondateurs."
317762,2947,31/12/1912,"10 % à la réserve légale ; 5 % d'intérêt aux actions. Sur l'excédent : 15 % au conseil d'administration, 25 % aux parts bénéficiaires, prélèvement facultatif pour la réserve extraordinaire. Le solde aux actions."
317778,3262,31/12/1912,5 % à la réserve légale ; 10% d'intérêt aux actions. Sur le surplus : 1/2 % par administrateur et 1/2 % par commissaire. Sur l'excédent : 50 % aux actions et 50 % aux parts.
317796,1629,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions ; prélèvement facultatif pour le fonds de prévoyance. Sur le solde : 75 % aux actions, 9 % au conseil d'administration, 16 % aux parts de fondateur."
317813,3280,31/12/1912,"5 % à la réserve, 5 % d'intérêt aux actions. Sur le surplus : 1 % à chaque membre du conseil d'administration et 13 % à chaque commissaire. Le solde aux actions, sauf affectation de tout ou partie à la dotation d'un fonds de prévision ou de réserve extraordinaire."
317827,3387,31/12/1912,"prélèvement pour les amortissements, 5 % d'intérêt aux actions. Sur le surplus : 8 % aux directeurs-gérants, 5 % au conseil d'administration, 5 % au personnel, somme à fixer pour le fonds de réserve. Le solde aux actions."
317843,2646,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 4 % d'intérêt aux actions. Sur le surplus : 10 % au conseil. Sur le solde : 50 % aux actions, 50 % aux parts."
317865,3233,31/12/1912,"Répartition des bénéfices : 5 % à la réserve, 6 % d'intérêt aux actions privilégiées. Sur le surplus : 25 % aux actions privilégiées et 5 francs par action de capital. Sur le solde : 9 % au conseil d'administration, 1 % au directeur, 30 % aux actions de jouissance, et 60 % aux actions de capital."
317891,762,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; prélèvement pour amortissement des actions, 25 francs d'intérêt aux actions de capital, 10 % au conseil d'administration, somme à fixer pour réserves supplémentaires spéciales ou de dividende. Le solde aux actions de capital et de jouissance."
317907,3030,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 6 % d'intérêt aux actions. Sur le solde : 25 % au conseil d'administration, 75 % aux actions."
317920,3222,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions, 10 % au conseil d'administration. Sur le solde : 67 % aux actions, 33 % aux parts de fondateur."
317936,5949,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le surplus, 20 à 30 % au fonds de réserve extraordinaire ou de prévoyance et 5 % aux administrateurs. Sur le solde : 40 % aux parts de fondateur et 60 % aux actions."
317953,2545,31/12/1912,"Répartition des bénéfices : 10 % à la réserve légale ; 5 % d'intérêt cumulatif aux actions privilégiées, 5 % d'intérêt aux actions ordinaires. Sur le solde : 7 1/2 % au conseil d'administration, 92 1/2 % aux actions."
317970,10215,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le surplus : 10 % au conseil d'administration, 90 % aux actions."
317991,5058,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 5 % au conseil d'administration, 10 % au comité de direction, 85 % à la disposition de l'assemblée générale."
318005,3041,31/12/1912,"Dividende privilégié (non cumulatif) de 7 % aux actions preferred ordinary. Le reste des bénéfices, déduction faite de 10% pour le fonds de réserve, est partagé par moitié entre les actions preferred et deferred. Toutefois, chaque administrateur recevra 1 %, et le président 1 1/2 % des bénéfices annuels, après paiement du dividende de 7 % aux actions preferred."
318019,2238,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 90 % aux actions, 10 % au conseil d'administration."
318034,3702,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 5 % au conseil d'administration, 5 % au fonds de prévoyance, 90 % aux actions."
318052,2948,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt cumulatif aux actions, 10 % au conseil d'administration, 10 % à un fonds de réserve spécial ou d'amortissement jusqu'à concurrence du quart du capital. Sur le surplus : 50 % aux actions, 50 % aux parts."
318069,3180,31/12/1912,"5 % au fonds de réserve, 6 % d'intérêt aux actions. Sur le surplus : 15 % au conseil d'administration, 76,666 % à toutes les actions sans distinction, et 8,324 % aux parts de fondateurs."
318085,556,31/12/1912,"5 % à la réserve légale ; prélèvement pour le fonds d'amortissement du matériel et le fonds d'assurances, 5 % d'intérêt aux actions de priorité, 5 % d'intérêt aux actions ordinaires. Le solde aux actions."
318102,10209,31/12/1912,"Répartition des bénéfices : 5 % à la réserve, 5 % d'intérêt aux actions. Sur le surplus : 10 % au conseil d'administration. Sur l'excédent, après prélèvements pour les amortissements ou réserves supplémentaires : 65 % aux actions 35 % aux parts bénéficiaires."
318120,663,31/12/1912,"5 % à la réserve légale ; prélèvement facultatif pour le fonds d'amortissement, 5 % d'intérêt aux actions. Sur le solde : 10 % au conseil d'administration, 15 % aux parts de fondateur, 75 % aux actions."
318135,621,31/12/1912,"5 % à la réserve légale, 5 % d'intérêt aux actions, 5 % au fonds d'amortissement des actions. Le solde (après déduction de la part des bénéfices qui pourraient revenir à la Ville de Paris, par l'application des traités), sauf la portion mise en réserve ou reportée à nouveau, est réparti aux actions de capital et de jouissance."
318151,3074,31/12/1912,"5 % à la réserve légale ; 6 % d'intérêt aux actions, prélèvement facultatif en faveur des réserves. Sur l'excédent : 15 % au conseil d'administration. Sur le solde : 25 % aux parts de fondateur, 75 % aux actions."
318167,10213,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le surplus, et sauf prélèvement facultatif d'une somme égale à 20 % au maximum des bénéfices nets en faveur d'une réserve de prévoyance : 5 % aux administrateurs, 45 % aux parts de fondateurs et 50 % aux actions."
318184,2586,31/12/1912,"5 % à la réserve légale ; 4 % d'intérêt aux actions. Sur le surplus : 1/2 % à chaque administrateur, 1 % au président, 1 % à l'administrateur délégué. Sur le solde : 75 % aux actions, 25 % aux parts bénéficiaires."
318199,3390,31/12/1912,"Répartition des bénéfices : 5 % à la réserve, 5 % au fonds d'amortissement, 2 % au fonds d'assurances, 5 % au conseil d'administration, 3 % au gérant et 80 % aux actions."
318216,10212,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions, 15 % au conseil d'administration. Le solde aux actions."
318230,2645,31/12/1912,"10 % au fonds de prévoyance jusqu'à ce qu'il atteigne 1 million. Sur l'excédent : 90 % aux obligations à revenu variable. Sur le surplus : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 20 % aux parts bénéficiaires, 70 % aux actions, 10 % au conseil d'administration."
318247,623,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions de priorité. Sur l'excédent : 5 % aux actions ordinaires. Le surplus aux actions jusqu'à concurrence de 3.200.000 francs. Au delà de ce chiffre : sur le solde, 25 % à la Société de Crédit Mobilier ou à ses ayants droit (actuellement représentés par la Société civile des porteurs de parts), 75 % aux actions."
318265,7100,31/12/1912,"5 % à la réserve légale ; 3 % d'intérêt aux actions. Sur le solde : 10 % au directeur, 10 % au conseil d'administration, 80 % aux actions."
318278,1628,31/12/1912,"Répartition des bénéfices : 5 % au moins à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 85 % aux actions, 10 % au conseil d'administration, 5 % au comité de direction."
318296,2949,31/12/1912,"5 % à la réserve légale ; prélèvement pour la réserve extraordinaire, 5 % d'intérêt aux actions. Sur le solde : 10 % au conseil d'administration, 45 % aux actions, 45 % aux parts de fondateur."
318341,2324,31/12/1912,"Au-dessus de 6 % du capital garanti, la moitié de l'excédent des produits nets reviendra à l'État. A l'expiration des 50 Premières années, les sommes pouvant alors rester dues à l'État pour ses avances produiront intérêt à 4 % l'an. Sur les bénéfices restant à distribuer : 5 % à la réserve légale ; la somme nécessaire pour rembourser les actions sorties aux tirages, 5 % d'intérêt aux actions. Sur le solde : 90 % aux actions, 10 % aux administrateurs."
318368,1251,31/12/1912,"Répartition des bénéfices : 5 % d'intérêt aux actions, 4/100e du capital social au fonds d'amortissement, 5 % au fonds de réserve. Sur le solde, 15 % au Gouvernement égyptien, 10 % aux fondateurs, 2 % aux administrateurs, 2 % aux fonds de retraites, de secours, d'indemnités et de gratifications, 71 % aux actions."
318391,10218,31/12/1912,"Répartition des bénéfices : les actions privilégiées ont droit, avant toute répartition aux actions ordinaires, à un dividende cumulatif de 5 %."
318438,3267,31/12/1912,"6 % d'intérêt aux actions privilégiées, 6 % d'intérêt aux actions ordinaires. Le solde à la disposition de l'assemblée générale."
318451,3024,31/12/1912,"5 % à la réserve légale ; prélèvement pour le fonds d'amortissement du capital, 5 % d'intérêt aux actions. Sur l'excédent: 10 % au conseil d'administration, 5 % au personnel fixe, 85 % aux actions."
318469,3386,31/12/1912,"5 % à la réserve légale ; 6 % d'intérêt cumulatif aux actions de priorité, 6 % d'intérêt aux actions ordinaires, prélèvement pour amortissement des actions à partir de 1920. Sur l'excédent : 2 % au conseil d'administration. Sur le solde : 25 % aux actions de priorité, 50 % aux actions ordinaires, 25 % aux parts de fondateur."
318486,3214,31/12/1912,"6 % d'intérêt aux actions et prélèvement pour leur amortissement ; participation du Gouvernement argentin dans les bénéfices, suivant le contrat de concession. Sur le solde : 5 % à la réserve légale ; 10 % au conseil d'administration, 85 % aux actions."
318503,3025,31/12/1912,"5 % à la réserve légale ; prélèvement pour la réserve spéciale. Sur le solde : 10 % au conseil d'administration, 90 % aux actions."
318516,3034,31/12/1912,"5 % à la réserve, 5 % au conseil d'administration. Le solde aux actions."
318531,1272,31/12/1912,"5 % à la réserve légale ; prélèvement pour assurer l'amortissement des actions avant 1951, 5 % d'intérêt aux actions, 10 % au conseil. Le surplus aux actions amorties et non amorties."
318544,668,31/12/1912,"3 % à la réserve légale ; prélèvement pour assurer l'amortissement des actions 5 ans avant l'expiration de la concession, 5 % d'intérêt aux actions. Le surplus aux actions amorties et non amorties."
318561,2666,31/12/1912,"5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 80 % aux actions, 20 % au conseil d'administration."
318577,687,31/12/1912,5 % à la réserve légale ; prélèvement pour l'amortissement des constructions et installations faites sur des terrains n'appartenant pas à la Société. Sur l'excédent : 5 % d'intérêt aux actions. Sur le solde : 85 % aux actions amorties et non amorties et 5 % au conseil d'administration.
318595,717,31/12/1912,5 % à la réserve légale. Le solde aux actions.
318609,2591,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 4 % d'intérêt aux actions ; somme nécessaire à l'amortissement du fonds social avant l'expiration de la concession. Sur le surplus, 10 % au conseil d'administration, 10 % à la disposition du conseil pour attributions diverses, 80 % aux actions amorties ou non amorties."
318626,2592,31/12/1912,"Répartition des bénéfices : 3,50 % d'intérêt aux actions, et leur amortissement. L'excédent sert à rembourser les sommes éventuellement avancées à titre de garantie d'intérêt par la Compagnie du Midi. Sur le surplus, la somme suffisante pour compléter à 5 % l'intérêt annuel des actions non amorties et servir 1/2 % d'intérêt aux actions amorties. Le solde est partagé à raison de 2/3 à la Compagnie du Midi, 1/3 au département des Landes et aux actionnaires."
318643,2594,31/12/1912,"Répartition des bénéfices : somme nécessaire à l'amortissement du fonds social avant expiration des concessions, 5 % d'intérêt aux actions, 5 % à la réserve légale. Le surplus aux actions amorties et non amorties."
318660,3299,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; somme nécessaire pour amortissement du fonds social avant l'expiration de la concession, 4 % d'intérêt aux actions non amorties. Sur le surplus : 15 % au conseil d'administration, 20 % à la disposition de l'assemblée générale, 65 % aux actions amorties et non amorties."
318677,10225,31/12/1912,"Répartition des bénéfices : 5 % au moins à la réserve légale ; 7 % au conseil d'administration (après la mise en exploitation de la ligne), 3 % au personnel. Le solde aux actions sauf, déduction de la part revenant au Gouvernement italien."
318702,2598,31/12/1912,Répartition des bénéfices : 5 % à la réserve légale ; 3 % d'intérêt aux actions. Sur l'excédent : 10 % pour amortir les actions. Sur le surplus : 1 % à chaque membre du conseil. Le solde aux actions de capital et de jouissance.
318720,769,31/12/1912,"Répartition des bénéfices : somme suffisante pour amortir le capital avant 1962, 4 % d'intérêt aux actions. Le solde aux actions de capital et de jouissance."
318733,4848,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 3,80 % d'intérêt aux actions ; somme nécessaire a l'amortissement du fonds social. Sur le surplus : 10 % aux administrateurs ; 10 % à la disposition du conseil d'administration ; 80% aux actions amorties et non amorties."
318750,10226,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le surplus : 10 % au conseil d'administration. Sur le solde : 25 % aux institutions de prévoyance, 75 % aux actions."
318765,2588,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions. Sur le solde : 10 % au conseil d'administration, 90 % aux actions."
318780,2446,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; prélèvement pour l'amortissement du capital, 5 % d'intérêt aux actions de capital. Le solde aux actions de capital et de jouissance."
318793,2447,31/12/1912,"Répartition des bénéfices : 5 % à la réserve légale ; 5 % d'intérêt aux actions, somme nécessaire pour assurer le remboursement des actions avant 1983, 10 % au conseil d'administration. Le solde aux actions."
